USAToday NBA Salaries 2008-09,,,,,,,,
,,,,,,,,
Last Name,First Name,City,Team,Annual Salary,Contract Yrs,Contract Amt,Contract Thru,Position
   Jones, Dahntay,Denver,Nuggets,926678,1,626823,2007-08,G-F
   Jones, Fred,Los Angeles,Clippers,616658,3,11000000,2008-09,G
   Jones, James,Miami,Heat,4000000,4,11000000,2008-09 (p),F
   Jones , Solomon,Atlanta,Hawks,797581,3,2202000,2008-09,F
   Jordan, DeAndre,Los Angeles,Clippers,550000,3,2140809,2010-11,C
   Kaman, Chris,Los Angeles,Clippers,9500000,5,52500000,2011-12,C
   Kapono, Jason,Toronto,Raptors,5784480,4,24000000,2010-11 (p),G-F
   Kinsey , Tarence,Cleveland,Cavaliers,797581,2,1100000,2007-08,G
   Kirilenko, Andrei,Utah,Jazz,15106000,6,86000000,2010-11,F
   Kleiza, Linas,Denver,Nuggets,1824493,4,4661000,2008-09 (t),F-G
   Knight, Brevin,Utah,Jazz,2000000,2,4000000,2008-09,G
   Korver, Kyle,Utah,Jazz,4881818,6,27000000,2010-11,G-F
   Koufos, Kosta,Utah,Jazz,1129320,5,9052309,2012-13,C
   Krstic, Nenad,Oklahoma City,Thunder,4778548,3,15600000,2010-11,C
   Kurz, Rob,Golden State,Warriors,425939,1,425939,2008-09,F
   Landry, Carl,Houston,Rockets,3000000,3,9000000,2010-11,F
   Lasme, Stephane,Miami,Heat,300000,1,300000,2008-09,F
   Law, Acie,Atlanta,Hawks,2071680,3,6214920,2009-10,G
   Lee, David,New York,Knicks,1788033,4,4566000,2008-09 (t),C-F
   Lee, Courtney,Orlando,Magic,1176240,5,9240347,2012-13,G
   Lewis, Rashard,Orlando,Magic,16447871,6,118200000,2012-13,F
   Lopez, Robin,Phoenix,Suns,1623720,5,12101079,2012-13,C-F
   Lopez, Brook,New Jersey,Nets,2098560,5,14035594,2012-13,C
   Love, Kevin,Minnesota,Timberwolves,3163680,5,20925164,2012-13,F
   Lowry , Kyle,Memphis,Grizzlies,1163520,4,5298000,2009-10,G
   Lue, Tyronn,Milwaukee,Bucks,2500000,3,11340000,2007-08,G
   Madsen, Mark,Minnesota,Timberwolves,2630000,5,10000000,2009-10,F
   Maggette, Corey,Golden State,Warriors,8600000,5,50000000,2012-13,F
   Magloire, Jamaal,Miami,Heat,1141838,1,3750000,2007-08,C
   Mahinmi, Ian,San Antonio,Spurs,841000,5,5118179,2011-12 (t),C
   Marbury, Stephon,New York,Knicks,20840625,4,76000000,2008-09,G
   Marion, Shawn,Toronto,Raptors,17810000,6,79000000,2008-09,F
   Marks, Sean,New Orleans,Hornets,1141838,1,770610,2007-08,F-C
   Marshall, Donyell,Philadelphia,76ers,5950894,4,22000000,2008-09,F
   Martin, Kevin,Sacramento,Kings,9260335,5,50000000,2011-12,G
   Martin, Cartier,Charlotte,Bobcats,26007,1,26007,2008-09,F
   Mason, Roger,San Antonio,Spurs,3500000,2,7000000,2009-10,G
   Mason, Desmond,Oklahoma City,Thunder,5400000,2,11000000,2008-09,G-F
   Mayo, O.J.,Memphis,Grizzlies,3875040,5,30362210,2012-13,G
   Mbah a Moute, Luc,Milwaukee,Bucks,442114,3,2032923,2010-11,F
   Mbenga, D.J.,Los Angeles,Angeles,880658,3,5300000,2008-09,C
   McCants, Rashad,Minnesota,Timberwolves,2620126,4,7581406,2008-09 (t),G
   McDyess, Antonio,Detroit,Pistons,6813050,2,14500000,2008-09,F-C
   McGee, JaVale,Washington,Wizards,1392240,5,10446465,2012-13,C-F
   McGrady, Tracy,Houston,Rockets,19614000,4,80282000,2009-10,G
   McGuire, Dominic,Washington,Wizards,711517,4,1964177,2010-11,F
   McRoberts, Josh,Indiana,Pacers,711517,3,1138680,2008-09,F
   Mihm, Chris,Los Angeles,Angeles,2500000,2,5000000,2008-09,C
   Miles, C.J.,Utah,Jazz,3700000,4,15000000,2011-12,F-G
   Milicic, Darko,Memphis,Grizzlies,7020000,3,21000000,2009-10,C-F
   Miller, Andre,Philadelphia,76ers,10233333,6,51000000,2008-09,G
   Miller, Brad,Sacramento,Kings,11375000,7,67000000,2009-10,C
   Miller, Mike,Minnesota,Timberwolves,9128575,6,47250000,2009-10,G-F
