team,revenue,seasonstart
Bulls,185000000,2010
Mavericks,166000000,2010
Celtics,146000000,2010
Heat,158000000,2010
Rockets,150000000,2010
Warriors,139000000,2010
Spurs,139000000,2010
Suns,136000000,2010
Magic,140000000,2010
Raptors,134000000,2010
Blazers,132000000,2010
Nets,89000000,2010
Thunder,126000000,2010
Jazz,120000000,2010
Pistons,141000000,2010
Cavaliers,149000000,2010
Wizards,109000000,2010
Clippers,108000000,2010
Nuggets,113000000,2010
76ers,116000000,2010
Kings,104000000,2010
Pelicans,109000000,2010
Pacers,101000000,2010
Hornets,101000000,2010
Timberwolves,97000000,2010
Hawks,109000000,2010
Grizzlies,99000000,2010
Bucks,92000000,2010
Knicks,243000000,2011
Lakers,197000000,2011
Bulls,162000000,2011
Celtics,143000000,2011
Mavericks,137000000,2011
Heat,150000000,2011
Rockets,135000000,2011
Warriors,127000000,2011
Nets,84000000,2011
Spurs,135000000,2011
Kings,96000000,2011
Thunder,127000000,2011
Suns,121000000,2011
Magic,126000000,2011
Blazers,117000000,2011
Cavaliers,128000000,2011
Jazz,111000000,2011
Clippers,108000000,2011
Nuggets,110000000,2011
76ers,107000000,2011
Raptors,121000000,2011
Pistons,125000000,2011
Wizards,102000000,2011
Pacers,98000000,2011
Grizzlies,96000000,2011
Timberwolves,96000000,2011
Pelicans,100000000,2011
Hawks,99000000,2011
Hornets,93000000,2011
Bucks,87000000,2011
Knicks,287000000,2012
Lakers,295000000,2012
Bulls,195000000,2012
Celtics,169000000,2012
Nets,190000000,2012
Rockets,191000000,2012
Heat,188000000,2012
Mavericks,162000000,2012
Warriors,160000000,2012
Spurs,167000000,2012
Thunder,144000000,2012
Blazers,140000000,2012
Clippers,128000000,2012
Suns,137000000,2012
Magic,139000000,2012
Kings,115000000,2012
Jazz,131000000,2012
Raptors,149000000,2012
Cavaliers,145000000,2012
Nuggets,124000000,2012
Wizards,122000000,2012
Pacers,121000000,2012
76ers,117000000,2012
Grizzlies,126000000,2012
Pistons,139000000,2012
Timberwolves,116000000,2012
Hawks,119000000,2012
Pelicans,116000000,2012
Hornets,115000000,2012
Bucks,109000000,2012
Lakers,293000000,2013
Knicks,278000000,2013
Bulls,201000000,2013
Celtics,173000000,2013
Clippers,146000000,2013
Nets,212000000,2013
Warriors,168000000,2013
Rockets,175000000,2013
Heat,188000000,2013
Mavericks,168000000,2013
Spurs,172000000,2013
Blazers,153000000,2013
Thunder,152000000,2013
Raptors,151000000,2013
Cavaliers,149000000,2013
Suns,145000000,2013
Wizards,143000000,2013
Magic,143000000,2013
Nuggets,136000000,2013
Jazz,142000000,2013
Pacers,139000000,2013
Hawks,133000000,2013
Pistons,144000000,2013
Kings,125000000,2013
Grizzlies,135000000,2013
Hornets,130000000,2013
76ers,125000000,2013
Pelicans,131000000,2013
Timberwolves,128000000,2013
Bucks,110000000,2013
Knicks,307000000,2014
Lakers,304000000,2014
Bulls,228000000,2014
Celtics,181000000,2014
Clippers,176000000,2014
Warriors,201000000,2014
Nets,220000000,2014
Rockets,237000000,2014
Mavericks,177000000,2014
Heat,180000000,2014
Spurs,170000000,2014
Cavaliers,191000000,2014
Suns,154000000,2014
Raptors,163000000,2014
Blazers,157000000,2014
Wizards,146000000,2014
Thunder,157000000,2014
Kings,141000000,2014
Magic,143000000,2014
Jazz,146000000,2014
Nuggets,140000000,2014
Pistons,154000000,2014
Pacers,138000000,2014
Hawks,142000000,2014
Grizzlies,147000000,2014
Hornets,142000000,2014
Timberwolves,146000000,2014
76ers,124000000,2014
Bucks,126000000,2014
Pelicans,142000000,2014
Knicks,376000000,2015
Lakers,333000000,2015
Warriors,305000000,2015
Bulls,232000000,2015
Celtics,200000000,2015
Clippers,185000000,2015
Nets,223000000,2015
Rockets,244000000,2015
Mavericks,194000000,2015
Heat,210000000,2015
Cavaliers,233000000,2015
Spurs,187000000,2015
Raptors,193000000,2015
Suns,173000000,2015
Kings,164000000,2015
Blazers,178000000,2015
Thunder,187000000,2015
Wizards,155000000,2015
Magic,166000000,2015
Jazz,164000000,2015
Pistons,172000000,2015
Nuggets,157000000,2015
Hawks,169000000,2015
Pacers,157000000,2015
76ers,140000000,2015
Grizzlies,155000000,2015
Bucks,146000000,2015
Hornets,158000000,2015
Timberwolves,154000000,2015
Pelicans,156000000,2015
