teamold,record,winpercent,seasonstart,seasonend,team
Pistons,44-38,0.537,2015,2016,Pistons
Pistons,32-50,0.39,2014,2015,Pistons
Pistons,29-53,0.354,2013,2014,Pistons
Pistons,29-53,0.354,2012,2013,Pistons
Pistons,25-41,0.379,2011,2012,Pistons
Pistons,30-52,0.366,2010,2011,Pistons
Pistons,27-55,0.329,2009,2010,Pistons
Pistons,39-43,0.476,2008,2009,Pistons
Pistons,59-23,0.72,2007,2008,Pistons
Pistons,53-29,0.646,2006,2007,Pistons
Pistons,64-18,0.78,2005,2006,Pistons
Pistons,54-28,0.659,2004,2005,Pistons
Pistons,54-28,0.659,2003,2004,Pistons
Pistons,50-32,0.61,2002,2003,Pistons
Pistons,50-32,0.61,2001,2002,Pistons
Pistons,32-50,0.39,2000,2001,Pistons
Pistons,42-40,0.512,1999,2000,Pistons
Pistons,29-21,0.58,1998,1999,Pistons
Pistons,37-45,0.451,1997,1998,Pistons
Pistons,54-28,0.659,1996,1997,Pistons
Pistons,46-36,0.561,1995,1996,Pistons
Pistons,28-54,0.341,1994,1995,Pistons
Pistons,20-62,0.244,1993,1994,Pistons
Pistons,40-42,0.488,1992,1993,Pistons
Pistons,48-34,0.585,1991,1992,Pistons
Pistons,50-32,0.61,1990,1991,Pistons
Pistons,59-23,0.72,1989,1990,Pistons
Pistons,63-19,0.768,1988,1989,Pistons
Pistons,54-28,0.659,1987,1988,Pistons
Pistons,52-30,0.634,1986,1987,Pistons
Pistons,46-36,0.561,1985,1986,Pistons
Pistons,46-36,0.561,1984,1985,Pistons
Pistons,49-33,0.598,1983,1984,Pistons
Pistons,37-45,0.451,1982,1983,Pistons
Pistons,39-43,0.476,1981,1982,Pistons
Pistons,21-61,0.256,1980,1981,Pistons
Pistons,16-66,0.195,1979,1980,Pistons
Warriors,58-24,0.707,2017,2018,Warriors
Warriors,67-15,0.817,2016,2017,Warriors
Warriors,73-9,0.89,2015,2016,Warriors
Warriors,67-15,0.817,2014,2015,Warriors
Warriors,51-31,0.622,2013,2014,Warriors
Warriors,47-35,0.573,2012,2013,Warriors
Warriors,23-43,0.348,2011,2012,Warriors
Warriors,36-46,0.439,2010,2011,Warriors
Warriors,26-56,0.317,2009,2010,Warriors
Warriors,29-53,0.354,2008,2009,Warriors
Warriors,48-34,0.585,2007,2008,Warriors
Warriors,42-40,0.512,2006,2007,Warriors
Warriors,34-48,0.415,2005,2006,Warriors
Warriors,34-48,0.415,2004,2005,Warriors
Warriors,37-45,0.451,2003,2004,Warriors
Warriors,38-44,0.463,2002,2003,Warriors
Warriors,21-61,0.256,2001,2002,Warriors
Warriors,17-65,0.207,2000,2001,Warriors
Warriors,19-63,0.232,1999,2000,Warriors
Warriors,21-29,0.42,1998,1999,Warriors
Warriors,19-63,0.232,1997,1998,Warriors
Warriors,30-52,0.366,1996,1997,Warriors
Warriors,36-46,0.439,1995,1996,Warriors
